Study Hour,Previous Exam Score,Attendance,Score
0.42,5.86,1,303.84
10.68,9.77,1,519.86
1.9,10.99,0,553.3
8.94,6.15,1,335.38
9.82,6.36,1,347.64
5.62,2.26,0,124.24
2.82,2.74,0,142.64
2.7,1.36,1,83.4
6.0,5.22,1,283.0
5.0,1.86,1,113.0
2.33,3.6,1,194.66
7.17,4.52,1,250.34
3.48,3.84,0,198.96
3.18,1.35,0,73.86
4.0,7.08,0,362.0
7.06,0.12,1,30.12
4.49,5.9,1,313.98
3.05,2.23,1,127.6
6.06,5.45,1,294.62
5.92,9.64,0,493.84
0.59,8.53,0,427.68
4.25,6.79,1,358.0
12.41,2.07,1,138.32
11.24,5.19,0,281.98
3.15,1.6,1,96.3
9.56,5.98,1,328.12
7.55,4.55,1,252.6
1.91,7.57,1,392.32
1.69,6.36,1,331.38
2.07,5.12,1,270.14
2.71,3.53,0,181.92
5.44,5.79,0,300.38
0.17,3.04,1,162.34
3.9,5.86,0,300.8
3.95,6.36,1,335.9
4.18,4.9,1,263.36
2.28,9.86,1,507.56
3.54,7.33,1,383.58
6.24,6.27,1,335.98
1.86,5.94,1,310.72
6.44,6.15,0,320.38
2.12,3.39,1,183.74
9.94,5.41,0,290.38
9.57,3.1,1,184.14
11.44,10.42,1,553.88
8.85,6.61,1,358.2
4.18,3.86,1,211.36
7.9,4.54,1,252.8
6.44,9.26,1,485.88
0.17,6.84,1,352.34
1.93,9.59,1,493.36
2.95,7.51,1,391.4
2.26,7.38,1,383.52
5.67,6.25,1,333.84
6.36,5.92,0,308.72
4.74,2.88,1,163.48
7.21,6.26,1,337.42
4.43,6.81,1,359.36
3.17,5.04,1,268.34
8.1,0.24,1,38.2
5.4,0.23,1,32.3
3.79,5.9,1,312.58
8.05,14.33,1,742.6
5.47,5.34,1,287.94
4.57,8.08,0,413.14
3.45,5.66,0,289.9
8.81,6.59,0,347.12
10.22,5.03,1,281.94
2.85,3.6,1,195.7
0.99,5.21,1,272.48
1.12,6.47,0,325.74
8.45,4.12,1,232.9
5.02,1.07,1,73.54
5.96,6.98,1,370.92
0.4,3.61,1,191.3
5.3,5.76,1,308.6
3.71,2.31,1,132.92
4.12,4.88,1,262.24
9.14,11.1,1,583.28
4.88,7.68,1,403.76
5.36,0.74,1,57.72
6.46,1.84,1,114.92
9.53,0.02,1,30.06
4.75,4.0,1,219.5
7.83,6.59,1,355.16
7.1,4.0,1,224.2
9.36,8.86,1,471.72
2.59,2.55,0,132.68
3.84,8.54,1,444.68
7.28,6.37,1,343.06
3.24,2.69,0,140.98
5.85,7.16,1,379.7
4.02,0.8,1,58.04
1.82,10.42,1,534.64
5.16,4.99,0,259.82
2.74,0.74,1,52.48
6.68,4.18,1,232.36
0.84,6.29,1,326.18
3.5,9.07,1,470.5
0.57,8.69,1,445.64
5.55,5.15,1,278.6
7.11,0.73,1,60.72
6.03,0.2,1,32.06
7.17,8.16,1,432.34
12.47,1.99,0,124.44
7.09,3.04,1,176.18
6.05,0.91,0,57.6
5.78,1.27,1,85.06
7.79,6.42,1,346.58
5.1,2.08,0,114.2
6.1,8.21,0,422.7
0.82,3.88,1,205.64
6.27,5.01,0,263.04
5.97,6.64,1,353.94
2.0,6.17,1,322.5
7.14,6.69,1,358.78
0.62,8.57,1,439.74
4.14,5.39,1,287.78
2.03,3.26,1,177.06
0.88,0.39,1,31.26
0.31,1.72,1,96.62
4.42,9.73,0,495.34
8.23,0.27,1,39.96
8.38,5.06,0,269.76
6.7,8.51,1,448.9
3.19,4.69,0,240.88
3.77,5.51,1,293.04
4.27,6.64,1,350.54
2.68,4.52,1,241.36
0.49,1.74,1,97.98
1.09,1.06,1,65.18
4.6,3.01,1,169.7
5.43,5.47,1,294.36
5.67,6.27,1,334.84
6.18,5.18,0,271.36
6.74,1.86,1,116.48
3.88,5.93,1,314.26
3.79,5.95,0,305.08
7.91,2.21,1,136.32
7.45,6.14,1,331.9
4.31,4.74,1,255.62
3.65,1.96,1,115.3
13.47,1.71,1,122.44
2.73,6.15,1,322.96
4.8,2.28,1,133.6
1.11,8.68,0,436.22
0.24,4.29,1,224.98
5.2,6.24,1,332.4
7.45,4.4,1,244.9
7.72,6.86,1,368.44
6.0,1.32,0,78.0
3.34,4.08,1,220.68
4.68,1.87,1,112.86
5.72,2.86,1,164.44
3.22,10.08,1,520.44
3.42,4.92,0,252.84
2.62,3.43,1,186.74
5.7,7.53,1,397.9
8.88,0.23,1,39.26
9.89,6.68,1,363.78
5.73,6.15,1,328.96
3.71,4.08,1,221.42
7.23,8.2,1,434.46
4.07,6.34,1,335.14
5.18,7.73,1,406.86
6.64,6.3,0,328.28
5.92,9.12,1,477.84
5.61,1.51,1,96.72
3.03,3.55,0,183.56
8.93,1.46,0,90.86
4.1,1.49,1,92.7
3.66,9.76,1,505.32
4.54,4.44,1,241.08
3.1,7.8,1,406.2
6.39,7.73,1,409.28
1.7,9.13,1,469.9
5.98,2.4,1,141.96
4.79,4.91,1,265.08
6.87,7.01,0,364.24
6.36,8.75,1,460.22
11.6,3.1,1,188.2
12.09,3.75,1,221.68
0.52,6.75,1,348.54
0.64,1.7,1,96.28
2.07,4.97,1,262.64
8.37,5.51,1,302.24
8.44,4.78,1,265.88
7.21,2.87,1,167.92
2.89,7.93,1,412.28
3.43,6.15,1,324.36
4.77,3.48,1,193.54
9.54,7.43,1,400.58
0.98,8.58,1,440.96
3.93,5.87,1,311.36
3.73,6.77,1,355.96
5.1,7.04,1,372.2
7.95,8.49,1,450.4
3.8,5.04,1,269.6
3.23,11.81,1,606.96
9.01,10.0,1,528.02
6.27,7.99,0,412.04
7.2,3.06,1,177.4
2.72,5.17,0,263.94
2.86,5.17,0,264.22
8.13,6.24,1,338.26
3.15,7.74,1,403.3
2.57,8.45,1,437.64
2.15,1.05,1,66.8
5.53,8.59,1,450.56
0.04,6.32,1,326.08
3.15,7.15,1,373.8
6.54,5.93,1,319.58
5.37,0.85,1,63.24
3.29,2.67,1,150.08
6.3,2.35,1,140.1
6.97,6.17,1,332.44
